cod_municipio,municipio,subregion,casos_total,mme,muertes,letalidad_pct
23001,Monteria,Medio Sinu,2667,2602,65,2.44
23162,Cerete,Medio Sinu,679,663,16,2.36
23807,Tierralta,Alto Sinu,643,623,20,3.11
23660,Sahagun,Sabanas,482,468,14,2.9
23417,Lorica,Bajo Sinu,438,419,19,4.34
23466,Montelibano,San Jorge,387,369,18,4.65
23815,Tuchin,Sabanas,350,344,6,1.71
23189,Cienaga de Oro,Medio Sinu,316,306,10,3.16
23555,Planeta Rica,San Jorge,301,298,3,1.0
23182,Chinu,Sabanas,282,276,6,2.13
23580,Puerto Libertador,San Jorge,277,267,10,3.61
23068,Ayapel,San Jorge,235,227,8,3.4
23670,San Andres de Sotavento,Sabanas,223,220,3,1.35
23855,Valencia,Alto Sinu,201,195,6,2.99
23672,San Antero,Costanera,193,190,3,1.55
23686,San Pelayo,Medio Sinu,185,183,2,1.08
23570,Pueblo Nuevo,San Jorge,137,136,1,0.73
23678,San Carlos,Medio Sinu,124,121,3,2.42
23090,Canalete,Costanera,121,116,5,4.13
23675,San Bernardo del Viento,Costanera,115,112,3,2.61
23500,Moñitos,Costanera,87,79,8,9.2
23300,Cotorra,Bajo Sinu,82,79,3,3.66
23079,Buenavista,San Jorge,78,77,1,1.28
23350,La Apartada,San Jorge,76,73,3,3.95
23574,Puerto Escondido,Costanera,76,71,5,6.58
23419,Los Cordobas,Costanera,56,53,3,5.36
23464,Momil,Bajo Sinu,48,47,1,2.08
23168,Chima,Bajo Sinu,42,41,1,2.38
23586,Purisima,Bajo Sinu,31,30,1,3.23
23682,San Jose de Ure,San Jorge,26,26,0,0.0
23000,Otro/Sin dato,Sin asignar,5,5,0,0.0
