dpto,muertes,nacidos,RMM,Departamento,rank
99,43,13919,308.9,Vichada,1
27,130,66301,196.1,Chocó,2
94,13,8519,152.6,Guainía,3
44,291,193452,150.4,La Guajira,4
97,7,6406,109.3,Vaupés,5
91,11,11385,96.6,Amazonas,6
52,139,154071,90.2,Nariño,7
47,182,213435,85.3,Magdalena,8
86,34,42265,80.4,Putumayo,9
23,162,235711,68.7,Córdoba,10
20,128,201806,63.4,Cesar,11
18,38,62004,61.3,Caquetá,12
13,192,323747,59.3,Bolívar,13
81,23,40393,56.9,Arauca,14
8,210,369552,56.8,Atlántico,15
70,75,134355,55.8,Sucre,16
19,87,164417,52.9,Cauca,17
54,104,202225,51.4,N. Santander,18
95,6,11790,50.9,Guaviare,19
73,73,152470,47.9,Tolima,20
25,154,321857,47.8,Cundinamarca,21
85,27,58233,46.4,Casanare,22
50,65,140947,46.1,Meta,23
76,188,439536,42.8,Valle,24
5,278,674744,41.2,Antioquia,25
66,37,94164,39.3,Risaralda,26
15,50,127908,39.1,Boyacá,27
68,93,256247,36.3,Santander,28
17,28,79170,35.4,Caldas,29
11,265,771394,34.4,Bogotá,30
41,56,168010,33.3,Huila,31
63,13,50356,25.8,Quindío,32
88,1,7232,13.8,San Andrés,33
